[2015-08-03 11:46:55.5794]DEBUG | 192.168.7.5進行連線------------------------------------------------------ 
[2015-08-03 11:46:57.7322]DEBUG | 192.168.7.5的設備連線TimeOut----------------------------------------- 
[2015-08-03 11:47:03.7538]DEBUG | 192.168.7.6進行連線------------------------------------------------------ 
[2015-08-03 11:47:07.7942]DEBUG | 192.168.7.6的設備連線TimeOut----------------------------------------- 
[2015-08-03 11:47:10.8674]DEBUG | 192.168.7.8進行連線------------------------------------------------------ 
[2015-08-03 11:47:12.4274]DEBUG | 192.168.7.8的設備連線TimeOut----------------------------------------- 
[2015-08-03 11:47:16.0622]DEBUG | 192.168.7.7進行連線------------------------------------------------------ 
[2015-08-03 11:47:17.2166]DEBUG | 192.168.7.7的設備連線TimeOut----------------------------------------- 
[2015-08-03 11:47:20.7266]DEBUG | 192.168.10.20進行連線------------------------------------------------------ 
[2015-08-03 11:53:00.9773]DEBUG | 192.168.7.5進行連線------------------------------------------------------ 
[2015-08-03 11:53:02.3033]DEBUG | 192.168.7.5的設備連線TimeOut----------------------------------------- 
[2015-08-03 11:53:02.3033]DEBUG | 192.168.7.6進行連線------------------------------------------------------ 
[2015-08-03 11:53:03.3173]DEBUG | 192.168.7.6的設備連線TimeOut----------------------------------------- 
[2015-08-03 11:53:03.3329]DEBUG | 192.168.7.8進行連線------------------------------------------------------ 
[2015-08-03 11:53:04.3157]DEBUG | 192.168.7.8的設備連線TimeOut----------------------------------------- 
[2015-08-03 11:53:04.3157]DEBUG | 192.168.7.7進行連線------------------------------------------------------ 
[2015-08-03 11:53:05.3297]DEBUG | 192.168.7.7的設備連線TimeOut----------------------------------------- 
[2015-08-03 11:53:05.3297]DEBUG | 192.168.10.20進行連線------------------------------------------------------ 
[2015-08-03 11:53:27.1853]TRACE | Point:ATest ID:1 (192.168.10.20-502) Command: 0,0,0,0,0,6,1,3,0,3,0,1 
[2015-08-03 12:05:55.8031]DEBUG | 192.168.7.5進行連線------------------------------------------------------ 
[2015-08-03 12:05:56.8015]DEBUG | 192.168.7.5的設備連線TimeOut----------------------------------------- 
[2015-08-03 12:05:56.8015]DEBUG | 192.168.7.6進行連線------------------------------------------------------ 
[2015-08-03 12:05:57.8155]DEBUG | 192.168.7.6的設備連線TimeOut----------------------------------------- 
[2015-08-03 12:05:57.8155]DEBUG | 192.168.7.8進行連線------------------------------------------------------ 
[2015-08-03 12:05:58.8139]DEBUG | 192.168.7.8的設備連線TimeOut----------------------------------------- 
[2015-08-03 12:05:58.8139]DEBUG | 192.168.7.7進行連線------------------------------------------------------ 
[2015-08-03 12:05:59.8123]DEBUG | 192.168.7.7的設備連線TimeOut----------------------------------------- 
[2015-08-03 12:05:59.8123]DEBUG | 192.168.10.20進行連線------------------------------------------------------ 
[2015-08-03 12:06:06.3019]TRACE | Point:ATest ID:1 (192.168.10.20-502) Command: 0,0,0,0,0,6,1,3,0,3,0,1 
[2015-08-03 12:20:25.9726]TRACE | ModbusTCP.Modbus 第1次接收到的字串：0,0,0,0,0,5,1,3,2,0,0 
[2015-08-03 12:21:27.5927]ERROR | ModbusTCP命令連續讀取2次錯誤，請確認ModbusTCP指令0,0,0,0,0,6,1,3,0,3,0,1，IP:192.168.10.20 
[2015-08-03 12:22:25.3440]DEBUG | 192.168.7.5進行連線------------------------------------------------------ 
