[2014-12-24 10:18:29.9826]TRACE | Dormitory708-ShingTech.Dormitory708.kWh (61.220.220.59-502) Command: 0,0,0,0,0,6,1,3,24,38,0,2 
[2014-12-24 10:19:37.1010]TRACE | Dormitory708-ShingTech.Dormitory708.kWh (61.220.220.59-502) Command: 0,0,0,0,0,6,1,3,24,38,0,2 
[2014-12-24 10:19:40.8450]TRACE | ModbusTCP.Modbus 第1次接收到的字串：0,0,0,0,0,7,1,3,4,0,0,0,192 
[2014-12-24 10:23:34.2134]TRACE | Dormitory708-ShingTech.Dormitory708.kWh (61.220.220.59-502) Command: 0,0,0,0,0,6,1,3,24,38,0,2 
[2014-12-24 10:23:36.1790]TRACE | ModbusTCP.Modbus 第1次接收到的字串：0,0,0,0,0,7,1,3,4,0,0,0,192 
[2014-12-24 10:40:31.3322]TRACE | Dormitory708-ShingTech.Dormitory708.kWh (61.220.220.59-502) Command: 0,0,0,0,0,6,1,3,24,38,0,2 
[2014-12-24 10:40:32.7050]TRACE | ModbusTCP.Modbus 第1次接收到的字串：0,0,0,0,0,7,1,3,4,0,0,0,192 
[2014-12-24 10:46:38.2299]TRACE | Dormitory708-ShingTech.Dormitory708.kW (61.220.220.59-502) Command: 0,0,0,0,0,6,1,4,24,36,0,2 
[2014-12-24 10:47:09.5703]ERROR | ModbusTCP.Read System.Net.Sockets.SocketException (0x80004005): 遠端主機已強制關閉一個現存的連線。
   於 Fpg.Cim.Adapter.ModbusTCP.ModbusTCP.ModbusTCP.Receive(Socket socket, Byte[]& buffer, Int32 offset, Int32 size, Int32 timeout) 於 c:\Users\Maple Lee\Desktop\Adapters\ModbusTCP\20141209 - 迅嘉圖控\Fpg.Cim.Adapter.ModbusTCP\Fpg.Cim.Adapter.ModbusTCP\ModbusTCP.cs: 行 1518
   於 Fpg.Cim.Adapter.ModbusTCP.ModbusTCP.ModbusTCP.ModbusTCP_Operate(String sCommand, Socket gWorkSocket, String sIP, Int32 iLength) 於 c:\Users\Maple Lee\Desktop\Adapters\ModbusTCP\20141209 - 迅嘉圖控\Fpg.Cim.Adapter.ModbusTCP\Fpg.Cim.Adapter.ModbusTCP\ModbusTCP.cs: 行 197
[2014-12-24 10:49:36.2797]TRACE | Dormitory708-ShingTech.Dormitory708.kW (61.220.220.59-502) Command: 0,0,0,0,0,6,1,3,24,36,0,2 
[2014-12-24 10:49:39.1501]TRACE | ModbusTCP.Modbus 第1次接收到的字串：0,0,0,0,0,7,1,3,4,59,12,72,191 
[2014-12-24 10:51:42.8133]TRACE | Dormitory708-ShingTech.Dormitory708.kW (61.220.220.59-502) Command: 0,0,0,0,0,6,1,3,24,36,0,2 
[2014-12-24 10:51:44.0613]TRACE | ModbusTCP.Modbus 第1次接收到的字串：0,0,0,0,0,7,1,3,4,59,9,99,48 
[2014-12-24 11:02:39.8693]TRACE | Dormitory708-ShingTech.Dormitory708.kWh (61.220.220.59-502) Command: 0,0,0,0,0,6,1,3,24,38,0,2 
[2014-12-24 11:02:40.4621]TRACE | ModbusTCP.Modbus 第1次接收到的字串：0,0,0,0,0,7,1,3,4,0,0,0,192 
[2014-12-24 11:10:48.9993]TRACE | Dormitory708-ShingTech.Dormitory708.kWh (61.220.220.59-502) Command: 0,0,0,0,0,6,1,3,24,38,0,2 
