[2014-12-24 08:49:23.3231]TRACE | 程式開始 2014-12-24 08:49:23.323 
[2014-12-24 08:49:23.3543]TRACE | 程式開始 2014-12-24 08:49:23.354 
[2014-12-24 10:17:20.3850]TRACE | 程式開始 2014-12-24 10:17:20.369 
[2014-12-24 10:17:20.4006]TRACE | 程式開始 2014-12-24 10:17:20.400 
[2014-12-24 10:19:33.5129]TRACE | 程式開始 2014-12-24 10:19:33.497 
[2014-12-24 10:19:33.5285]TRACE | 程式開始 2014-12-24 10:19:33.528 
[2014-12-24 10:23:30.1418]TRACE | 程式開始 2014-12-24 10:23:30.126 
[2014-12-24 10:23:30.1730]TRACE | 程式開始 2014-12-24 10:23:30.173 
[2014-12-24 10:40:14.9425]TRACE | 程式開始 2014-12-24 10:40:14.926 
[2014-12-24 10:40:14.9581]TRACE | 程式開始 2014-12-24 10:40:14.958 
[2014-12-24 10:46:29.9150]TRACE | 程式開始 2014-12-24 10:46:29.915 
[2014-12-24 10:46:29.9462]TRACE | 程式開始 2014-12-24 10:46:29.946 
[2014-12-24 10:48:30.2728]TRACE | 程式開始 2014-12-24 10:48:30.257 
[2014-12-24 10:48:30.2884]TRACE | 程式開始 2014-12-24 10:48:30.288 
[2014-12-24 10:49:04.2219]TRACE | 程式開始 2014-12-24 10:49:04.221 
[2014-12-24 10:49:04.2375]TRACE | 程式開始 2014-12-24 10:49:04.237 
[2014-12-24 10:51:13.0172]TRACE | 程式開始 2014-12-24 10:51:13.001 
[2014-12-24 10:51:13.0328]TRACE | 程式開始 2014-12-24 10:51:13.032 
[2014-12-24 11:02:18.3256]TRACE | 程式開始 2014-12-24 11:02:18.310 
[2014-12-24 11:02:18.3412]TRACE | 程式開始 2014-12-24 11:02:18.341 
[2014-12-24 11:10:43.4282]TRACE | 程式開始 2014-12-24 11:10:43.412 
[2014-12-24 11:10:43.4438]TRACE | 程式開始 2014-12-24 11:10:43.443 
[2014-12-24 11:12:22.5189]TRACE | 程式開始 2014-12-24 11:12:22.503 
[2014-12-24 11:12:22.5345]TRACE | 程式開始 2014-12-24 11:12:22.534 
[2014-12-24 11:22:22.3428]TRACE | 程式開始 2014-12-24 11:22:22.342 
[2014-12-24 11:22:22.3584]TRACE | 程式開始 2014-12-24 11:22:22.358 
[2014-12-24 11:46:39.9628]TRACE | 程式開始 2014-12-24 11:46:39.947 
[2014-12-24 11:46:39.9784]TRACE | 程式開始 2014-12-24 11:46:39.978 
[2014-12-24 11:47:27.3687]TRACE | 程式開始 2014-12-24 11:47:27.353 
[2014-12-24 11:47:27.3999]TRACE | 程式開始 2014-12-24 11:47:27.399 
[2014-12-24 11:56:52.3508]TRACE | 程式開始 2014-12-24 11:56:52.350 
[2014-12-24 11:56:52.3664]TRACE | 程式開始 2014-12-24 11:56:52.366 
[2014-12-24 11:59:06.0632]TRACE | 程式開始 2014-12-24 11:59:06.047 
[2014-12-24 11:59:06.0788]TRACE | 程式開始 2014-12-24 11:59:06.078 
