[2014-12-19 16:56:29.3367]TRACE | 程式開始 2014-12-19 16:56:29.321 
[2014-12-19 16:56:29.3679]TRACE | 程式開始 2014-12-19 16:56:29.367 
[2014-12-19 17:44:03.6575]TRACE | 程式開始 2014-12-19 17:44:03.657 
[2014-12-19 17:44:03.6887]TRACE | 程式開始 2014-12-19 17:44:03.688 
[2014-12-19 17:45:54.7128]TRACE | 程式開始 2014-12-19 17:45:54.697 
[2014-12-19 17:45:54.7440]TRACE | 程式開始 2014-12-19 17:45:54.744 
[2014-12-19 17:51:21.4733]TRACE | 程式開始 2014-12-19 17:51:21.473 
[2014-12-19 17:51:21.5201]TRACE | 程式開始 2014-12-19 17:51:21.520 
[2014-12-19 17:54:12.9085]TRACE | 程式開始 2014-12-19 17:54:12.892 
[2014-12-19 17:54:12.9553]TRACE | 程式開始 2014-12-19 17:54:12.955 
[2014-12-19 17:55:58.5405]TRACE | 程式開始 2014-12-19 17:55:58.540 
[2014-12-19 17:55:58.5561]TRACE | 程式開始 2014-12-19 17:55:58.556 
[2014-12-19 17:56:52.3636]TRACE | 程式開始 2014-12-19 17:56:52.348 
[2014-12-19 17:56:52.3948]TRACE | 程式開始 2014-12-19 17:56:52.394 
[2014-12-19 18:00:24.9615]TRACE | 程式開始 2014-12-19 18:00:24.945 
[2014-12-19 18:00:24.9771]TRACE | 程式開始 2014-12-19 18:00:24.977 
[2014-12-19 18:00:54.1676]TRACE | 程式開始 2014-12-19 18:00:54.167 
[2014-12-19 18:00:54.1832]TRACE | 程式開始 2014-12-19 18:00:54.183 
